game_id,genres
3281560,Unclassified
3280930,Unclassified
3280770,Unclassified
3279790,Unclassified
3278320,Unclassified
3278740,Action
3277430,Unclassified
3276500,Unclassified
3274370,Unclassified
3274670,Unclassified
3270850,Indie
3271040,Unclassified
3270450,Unclassified
3269910,Unclassified
3268170,Unclassified
3267350,Action
3267350,Free To Play
3266750,Unclassified
3266470,Adventure
3266470,Casual
3266470,Indie
3266060,Unclassified
3264280,Unclassified
3264110,Casual
3264110,Role Playing
3263360,Unclassified
3263370,Casual
3263450,Unclassified
3263470,Unclassified
3263590,Casual
3263590,Indie
3263050,Unclassified
3262270,Unclassified
3261860,Casual
3261860,Free To Play
3261870,Action
3261870,Indie
3262150,Unclassified
3262200,Casual
3262200,Indie
3262200,Strategy
3261370,Action
3261370,Adventure
3261370,Indie
3260870,Casual
3260870,Indie
3260920,Casual
3260920,Indie
3260490,Indie
3260490,Role Playing
3260490,Free To Play
3259810,Casual
3259810,Indie
3259810,Sports
3259940,Unclassified
3260050,Unclassified
3258800,Action
3258800,Adventure
3258800,Indie
3258800,Free To Play
3259020,Unclassified
3258140,Unclassified
3256980,Action
3256980,Casual
3256980,Indie
3256370,Unclassified
3256170,Unclassified
3255400,Casual
3255400,Free To Play
3255400,Education
3255440,Indie
3255520,Unclassified
3198310,Unclassified
2230230,Unclassified
3255600,Action
3255000,Casual
3255000,Indie
3255190,Unclassified
3254320,Casual
3254320,Racing
3254320,Sports
3254320,Free To Play
3254440,Action
3254440,Adventure
3254440,Casual
3254440,Indie
3254440,Free To Play
3254480,Unclassified
3254040,Unclassified
3254130,Action
3254130,Indie
3254180,Unclassified
3253220,Action
3253220,Casual
3253220,Indie
3252910,Unclassified
3253070,Adventure
3253070,Casual
3253070,Indie
3253210,Unclassified
3252300,Unclassified
3252500,Action
3252500,Indie
3252500,Simulation
3252590,Casual
3252590,Indie
3252210,Unclassified
3251370,Casual
3251370,Racing
3251370,Simulation
3251610,Casual
3294120,Unclassified
3292870,Unclassified
3291420,Unclassified
3286850,Unclassified
3286340,Unclassified
3284050,Adventure
3284050,Casual
3283700,Unclassified
3282840,Unclassified
3282640,Unclassified
1431940,Action
1431950,Adventure
1431950,Indie
1431950,Role Playing
1431950,Strategy
1432000,Action
1432000,Adventure
1432000,Casual
1432000,Indie
1432000,Role Playing
1432000,Strategy
1432000,Early Access
1432020,Adventure
1432050,Action
1432050,Adventure
1432050,Indie
1432050,Role Playing
1432100,Adventure
1432100,Indie
1432110,Casual
1432110,Indie
1431550,Action
1431550,Casual
1431550,Indie
1431550,Free To Play
1431570,Adventure
1431570,Casual
1431570,Indie
1431610,Action
1431610,Role Playing
1431610,Simulation
1431620,Action
1431620,Casual
1431620,Indie
1431630,Simulation
1431630,Strategy
1431690,Adventure
1431690,Casual
1431690,Indie
1431720,Action
1431720,Adventure
1431720,Indie
1431720,Free To Play
1431730,Adventure
1431730,Indie
1431770,Adventure
1431770,Casual
1431770,Free To Play
1431770,Indie
1431770,Strategy
1431780,Action
1431780,Adventure
1431780,Indie
1431790,Adventure
1431790,Casual
1431790,Role Playing
1431790,Simulation
1431840,Casual
1431850,Adventure
1431890,Action
1431890,Indie
1431150,Adventure
1431150,Indie
1431150,Early Access
1431170,Action
1431170,Indie
1431180,Indie
1431190,Casual
1431210,Action
1431210,Adventure
1431210,Casual
1431210,Indie
1431210,Role Playing
1431210,Strategy
1431220,Casual
1431220,Indie
1431220,Role Playing
1431220,Simulation
1431230,Indie
1431230,Role Playing
1431230,Simulation
1431230,Strategy
1431230,Early Access
1431240,Casual
1431240,Free To Play
1431270,Adventure
1431270,Casual
1431270,Indie
1431290,Adventure
1431290,Indie
1431350,Action
1431350,Casual
1431370,Action
1431370,Adventure
1431370,Casual
1431370,Indie
1431370,Simulation
1431380,Action
1431380,Adventure
1431380,Casual
1431380,Indie
1431380,Early Access
1431420,Indie
1431430,Adventure
1431430,Casual
1431430,Indie
1431430,Simulation
1431450,Casual
1431450,Indie
1431450,Strategy
1431470,Adventure
1431470,Indie
2224990,Unclassified
3048880,Unclassified
1430720,Strategy
1430740,Casual
1430740,Indie
1430740,Role Playing
1430740,Simulation
1430810,Action
1430810,Adventure
1430820,Casual
1430820,Indie
1430820,Strategy
1430820,Early Access
1430970,Adventure
1430970,Indie
1430970,Strategy
1430970,Early Access
1430980,Casual
1430980,Indie
1430980,Simulation
1431020,Action
1431020,Casual
1431020,Indie
1431040,Casual
1431040,Sports
1431100,Action
1431100,Casual
1431100,Racing
1430200,Strategy
1430240,Adventure
1430240,Casual
1430240,Free To Play
1430240,Indie
1430280,Action
1430280,Casual
1430280,Indie
1430280,Early Access
1430310,Action
1430310,Free To Play
1430320,Action
1430320,Indie
1430340,Casual
1430340,Indie
1430420,Casual
1430640,Action
1430640,Adventure
1430640,Indie
1430640,Early Access
1430680,Action
1430680,Adventure
1430680,Indie
1430690,Adventure
1430690,Free To Play
1430690,Indie
1430690,Role Playing
1429780,Adventure
1429820,Casual
1429820,Indie
1429820,Simulation
1429870,Action
1429870,Indie
1429890,Casual
1429890,Simulation
1429950,Casual
1429950,Indie
1430010,Adventure
1430010,Casual
1430010,Indie
1430010,Simulation
1430010,Early Access
1430030,Adventure
1430030,Casual
1430040,Action
1430040,Adventure
1430040,Indie
1430070,Adventure
1430070,Casual
1430070,Indie
1430070,Role Playing
1430100,Indie
1430100,Role Playing
1428880,Adventure
1428880,Role Playing
1428880,Simulation
1424720,Adventure
1424720,Indie
1430120,Casual
1430120,Indie
1430140,Strategy
1430160,Casual
1430160,Indie
1430180,Casual
1430180,Indie
1429350,Action
1429350,Casual
1429350,Simulation
1429400,Adventure
1429400,Casual
1429400,Indie
1429400,Early Access
1429480,Casual
1429480,Indie
1429480,Strategy
1429500,Action
1429500,Adventure
1429500,Casual
1429500,Indie
1429500,Role Playing
1429530,Strategy
1429610,Indie
1429610,Role Playing
1429610,Simulation
1429630,Action
1429630,Indie
1429640,Action
1429640,Adventure
1429640,Role Playing
1429670,Adventure
1429670,Casual
1429670,Indie
1429680,Indie
1429700,Action
1429700,Casual
1429700,Indie
1429730,Action
1429730,Indie
1429740,Action
1429740,Adventure
1429740,Indie
1429740,Free To Play
1428780,Action
1428780,Adventure
1428780,Indie
1428780,Role Playing
1428790,Adventure
1428790,Casual
1428790,Indie
1428790,Strategy
1428820,Casual
1428820,Indie
1428820,Simulation
1428820,Sports
1428840,Action
1428840,Adventure
1428840,Indie
1428870,Action
1428870,Casual
1428870,Indie
1428870,Racing
1428870,Strategy
1428870,Free To Play
1428900,Action
1428900,Adventure
1428900,Casual
1428900,Free To Play
1428900,Indie
1428970,Adventure
1428970,Casual
1428970,Indie
1428980,Role Playing
1429040,Adventure
1429040,Casual
1429040,Indie
1429040,Role Playing
1429100,Indie
1429130,Adventure
1429160,Action
1429160,Adventure
1429160,Indie
1429160,Role Playing
1429210,Action
1429210,Indie
1429210,Role Playing
1429210,Early Access
1429260,Indie
1429260,Role Playing
1429260,Strategy
1428270,Casual
1428270,Indie
1428290,Adventure
1428290,Casual
1428290,Indie
1428290,Simulation
1428290,Strategy
1428300,Action
1428300,Casual
1428300,Indie
1428300,Strategy
1428310,Role Playing
1428310,Simulation
1428360,Adventure
1428360,Indie
1428360,Simulation
1428360,Early Access
1428420,Indie
1428420,Simulation
1428440,Adventure
1428440,Casual
1428440,Indie
1428460,Adventure
1428460,Indie
1428470,Action
1428470,Adventure
1428470,Casual
1428470,Indie
1428470,Strategy
1428470,Early Access
1428480,Casual
1428480,Early Access
1428520,Indie
1428520,Simulation
1428520,Strategy
1428530,Action
1428530,Indie
1428550,Casual
1428550,Indie
1428560,Adventure
1428560,Casual
1428560,Indie
1428570,Indie
1428580,Action
1428580,Adventure
1428580,Indie
1428610,Action
1428610,Adventure
1428610,Free To Play
1428610,Indie
1428610,Role Playing
1428630,Action
1428630,Indie
1428650,Action
1428650,Indie
1428650,Role Playing
1428150,Action
1428150,Adventure
1428150,Indie
1428150,Role Playing
1428150,Simulation
1428160,Adventure
1428160,Role Playing
1428180,Adventure
1428180,Casual
1428180,Indie
1427540,Indie
3099340,Unclassified
1428680,Action
1428680,Adventure
1428680,Casual
1428680,Indie
1428700,Casual
1428710,Action
1428710,Indie
1428710,Role Playing
1428730,Action
1428730,Early Access
1428770,Action
1428770,Adventure
1428770,Indie
1427800,Action
1427800,Indie
1427860,Adventure
1427860,Indie
1427880,Action
1427880,Casual
1427880,Free To Play
1427880,Indie
1427890,Action
1427890,Indie
1427890,Strategy
1427900,Casual
1427910,Casual
1427920,Casual
1427930,Casual
1427940,Casual
1427950,Casual
1427960,Casual
1427970,Casual
1427980,Casual
1427990,Casual
1428030,Action
1428030,Adventure
1428030,Indie
1428040,Casual
1428040,Indie
1428040,Strategy
1428060,Casual
1428060,Indie
1428060,Simulation
1428080,Adventure
1428100,Action
1428100,Casual
1428100,Indie
1428100,Simulation
1428100,Strategy
1428130,Action
1428130,Adventure
1428130,Casual
1428130,Indie
1427570,Action
1427570,Early Access
3083840,Unclassified
1691580,Unclassified
1427620,Action
1427620,Adventure
1427620,Indie
1427620,Role Playing
1427640,Action
1427640,Free To Play
1427640,Indie
1427640,Massively Multiplayer
1427640,Early Access
1427680,Action
1427700,Adventure
1427700,Indie
1427700,Role Playing
1427700,Simulation
1427700,Early Access
1427710,Indie
1427030,Action
1427030,Indie
1427100,Adventure
1427100,Casual
1427100,Indie
1427100,Simulation
1427120,Adventure
1427120,Indie
1427130,Action
1427130,Adventure
1427130,Indie
1427130,Role Playing
1427140,Adventure
1427140,Casual
1427140,Indie
1427150,Action
1427150,Adventure
1427150,Indie
1427210,Action
1427210,Adventure
1427210,Casual
1427210,Free To Play
1427210,Indie
1427290,Adventure
1427290,Role Playing
1427300,Adventure
1427300,Indie
1427320,Adventure
1427320,Indie
1427400,Adventure
1427400,Casual
1427400,Indie
1427420,Action
1427420,Free To Play
1427420,Strategy
1427420,Early Access
1427450,Adventure
1427450,Casual
1427450,Indie
1427450,Racing
1427450,Strategy
1427480,Action
1427480,Casual
1427480,Indie
1427480,Sports
1426530,Adventure
1426530,Casual
1426530,Role Playing
1426530,Simulation
1426530,Strategy
1426540,Action
1426540,Casual
1426560,Action
1426560,Indie
1426560,Role Playing
1426560,Simulation
1426560,Strategy
1426570,Adventure
1426570,Indie
1426570,Role Playing
1426740,Action
1426740,Adventure
1426740,Casual
1426740,Indie
1426740,Role Playing
1426890,Casual
1426890,Indie
1426900,Indie
1426900,Role Playing
1426950,Casual
1426950,Indie
1426950,Role Playing
1425770,Adventure
1425770,Casual
1425770,Indie
1425770,Strategy
1425770,Early Access
1425790,Casual
1425790,Free To Play
1425790,Massively Multiplayer
1425790,Role Playing
1426980,Casual
1426980,Indie
1426990,Action
1426990,Adventure
1426990,Casual
1426990,Indie
1426990,Sports
1426090,Casual
1426100,Indie
1426110,Casual
1426110,Indie
1426120,Adventure
1426120,Casual
1426120,Indie
1426120,Role Playing
1426130,Action
1426130,Adventure
1426130,Casual
1426130,Strategy
1426160,Adventure
1426160,Indie
1426160,Role Playing
1426190,Action
1426190,Indie
1426190,Early Access
1426230,Adventure
1426230,Indie
1426280,Adventure
1426310,Indie
1426310,Simulation
1426310,Strategy
1426330,Action
1426330,Adventure
1426340,Casual
1426340,Indie
1426340,Role Playing
1426370,Indie
1426370,Role Playing
1426400,Action
1426440,Action
1426440,Casual
1426440,Free To Play
1426470,Unclassified
1426480,Adventure
1426480,Casual
1426480,Indie
1426490,Action
1426490,Indie
1426490,Role Playing
1426500,Indie
1425550,Indie
1425550,Strategy
1425580,Action
1425580,Indie
1425590,Action
1425590,Indie
1425620,Adventure
1425620,Casual
1425620,Early Access
1425630,Action
1425630,Casual
1425630,Indie
1425630,Early Access
1425640,Strategy
1425670,Action
1425670,Indie
1425670,Role Playing
1425670,Early Access
1425690,Action
1425720,Simulation
1425730,Action
1425730,Adventure
1425830,Adventure
1425830,Casual
1425830,Indie
1425920,Action
1425920,Casual
1425920,Indie
1425920,Simulation
1425920,Strategy
1425130,Adventure
1425130,Indie
1425140,Action
1425140,Adventure
1425140,Casual
1425140,Indie
1425170,Racing
1425240,Casual
1425240,Free To Play
1425250,Indie
1425260,Adventure
1425260,Indie
1425270,Strategy
1425280,Action
1425280,Adventure
