record_id,age,gender,occupation,years_gaming,daily_gaming_hours,genre,primary_game,gaming_platform,monthly_spend,academic_performance,gpa,work_productivity,face_to_face_social_hours_weekly,social_isolation,exercise_hours_weekly,sleep_hours,sleep_quality,sleep_disruption,eye_strain,back_neck_pain,physical_pain,weight_change_kg,mood_state,mood_swings,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,gaming_addiction_risk_level,addiction_severity,hours_bin,title,game_id
GD0001,17,Male,Student,3,11.1,Mobile Games,clash of clans,PC,383.7,Below Average,1.25,,1.3,7,3.7,3.7,Very Poor,Sometimes,True,False,True,6.8,Anxious,Never,True,False,True,Severe,2,9-12h,,N/A
GD0002,21,Male,Student,1,3.0,MOBA,dota 2,PC,46.64,Good,3.75,2.0,10.7,2,8.5,7.2,Fair,Rarely,False,False,False,0.4,Irritable,Often,False,False,False,Low,0,0-3h,dota 2,570.0
GD0003,23,Male,Professional,6,7.6,FPS,counter-strike: global offensive,Multi-platform,100.81,Poor,,9.0,3.2,5,7.1,4.4,Fair,Often,False,True,True,1.8,Irritable,Rarely,True,True,True,Severe,3,6-9h,counter-strike: global offensive,3468.0
GD0004,20,Female,Student,7,7.2,RPG,skyrim,Multi-platform,51.6,Poor,1.62,2.0,9.1,4,5.2,5.1,Fair,Often,True,True,True,0.2,Withdrawn,Daily,True,True,False,High,2,6-9h,skyrim,2435.0
GD0005,18,Male,Student,1,6.8,Battle Royale,apex legends,PC,32.57,Average,2.44,,4.5,4,6.1,3.4,Poor,Never,False,False,False,0.5,Angry,Daily,True,False,False,Moderate,1,6-9h,apex legends,176538.0
GD0005,18,Male,Student,1,6.8,Battle Royale,apex legends,PC,32.57,Average,2.44,,4.5,4,6.1,3.4,Poor,Never,False,False,False,0.5,Angry,Daily,True,False,False,Moderate,1,6-9h,apex legends,495480.0
GD0005,18,Male,Student,1,6.8,Battle Royale,apex legends,PC,32.57,Average,2.44,,4.5,4,6.1,3.4,Poor,Never,False,False,False,0.5,Angry,Daily,True,False,False,Moderate,1,6-9h,apex legends,176537.0
GD0006,21,Male,Student,4,2.1,Mobile Games,clash of clans,PC,8.63,Good,3.81,4.0,9.6,1,10.8,7.5,Fair,Rarely,False,False,False,0.2,Normal,Never,False,False,False,Low,0,0-3h,,N/A
GD0007,21,Male,Student,3,2.7,FPS,call of duty,Multi-platform,35.25,Below Average,1.82,6.0,10.1,2,10.0,7.2,Very Poor,Often,False,False,False,0.8,Euphoric,Rarely,False,False,False,Low,0,0-3h,,N/A
GD0008,28,Female,Professional,13,10.3,Mobile Games,clash of clans,Console,299.28,Poor,,1.0,0.2,6,5.6,5.2,Fair,Sometimes,True,True,True,2.4,Anxious,Rarely,True,True,True,Severe,3,9-12h,,N/A
GD0009,18,Male,Student,6,1.4,Mobile Games,genshin impact,PC,49.4,Good,2.43,,12.9,1,10.1,8.9,Poor,Always,False,False,False,0.1,Euphoric,Daily,False,False,False,Low,0,0-3h,genshin impact,410617.0
GD0009,18,Male,Student,6,1.4,Mobile Games,genshin impact,PC,49.4,Good,2.43,,12.9,1,10.1,8.9,Poor,Always,False,False,False,0.1,Euphoric,Daily,False,False,False,Low,0,0-3h,genshin impact,437991.0
GD0009,18,Male,Student,6,1.4,Mobile Games,genshin impact,PC,49.4,Good,2.43,,12.9,1,10.1,8.9,Poor,Always,False,False,False,0.1,Euphoric,Daily,False,False,False,Low,0,0-3h,genshin impact,410618.0
GD0009,18,Male,Student,6,1.4,Mobile Games,genshin impact,PC,49.4,Good,2.43,,12.9,1,10.1,8.9,Poor,Always,False,False,False,0.1,Euphoric,Daily,False,False,False,Low,0,0-3h,genshin impact,748280.0
GD0010,18,Male,Student,6,7.6,MMO,final fantasy xiv online,Multi-platform,135.2,Average,1.13,,4.6,6,4.5,3.5,Insomnia,Often,True,False,True,3.3,Anxious,Never,True,True,True,Severe,3,6-9h,final fantasy xiv online,39210.0
GD0011,16,Male,Student,4,1.5,FPS,counter-strike: global offensive,Multi-platform,28.23,Good,3.04,,11.0,1,10.1,8.4,Good,Often,False,False,False,0.2,Restless,Daily,False,False,False,Low,0,0-3h,counter-strike: global offensive,3468.0
