game_id,gaming_platform,title,genres
3281560,Pc,Horror Game To Play With Friends! Playtest,
3280930,Pc,Eternals' Path Playtest,
3280770,Pc,ANGST: A TALE OF SURVIVAL - Singleplayer Playtest,
3279790,Pc,Montabi Playtest,
3278320,Pc,파이팅걸 유리 Playtest,
3278740,Pc,NEURO,['Action']
3277430,Pc,Objective: F.E.A.S.T. Playtest,
3276500,Pc,Fortune Avenue Playtest,
3274370,Pc,Beyond the Ordinary Playtest,
3274670,Pc,Quantum Joe Playtest,
3270850,Pc,Keep Your Eyes Open,['Indie']
3271040,Pc,Fission Playtest,
3270450,Pc,Cursed Companions Playtest,
3269910,Pc,勇者村庄 Playtest,
3268170,Pc,Hat Helpers Playtest,
3267350,Pc,Tiny Shooters,"['Action', 'Free To Play']"
3266750,Pc,Astoaria Playtest,
3266470,Pc,Futanari Sex Adventures - Episode 5,"['Adventure', 'Casual', 'Indie']"
3266060,Pc,Creatures Of War Playtest,
3264280,Pc,Vampire Rancher Playtest,
3264110,Pc,AUTO_BATTLER_RPG,"['Casual', 'RPG']"
3263360,Pc,Creatures After Calamity Playtest,
3263370,Pc,FART BUBBLE DX,['Casual']
3263450,Pc,Dear My Friend - 我的挚友 Playtest,
3263470,Pc,7 Days Playtest,
3263590,Pc,Mazzle Halloween,"['Casual', 'Indie']"
3263050,Pc,Cenk The Chopper Playtest,
3262270,Pc,The Laser Games Playtest,
3261860,Pc,CAIGE: Cum Overflow,"['Casual', 'Free To Play']"
3261870,Pc,Multiplayer Ninjas,"['Action', 'Indie']"
3262150,Pc,Formicarium Playtest,
3262200,Pc,JetpackPush,"['Casual', 'Indie', 'Strategy']"
3261370,Pc,Pogo Knight,"['Action', 'Adventure', 'Indie']"
3260870,Pc,Sexy Memory Puzzle - Pool Massage,"['Casual', 'Indie']"
3260920,Pc,Sexy Memory Puzzle - Gay BDSM,"['Casual', 'Indie']"
3260490,Pc,Cowgirl Trainer,"['Indie', 'RPG', 'Free To Play']"
3259810,Pc,Voodoo Pin,"['Casual', 'Indie', 'Sports']"
3259940,Pc,舒舒服服小岛时光 Playtest,
3260050,Pc,Shop Simulator Pet Shop Playtest,
3258800,Pc,Niva,"['Action', 'Adventure', 'Indie', 'Free To Play']"
3259020,Pc,Sculplings Playtest,
3258140,Pc,Mystic Warfare Playtest,
3256980,Pc,Guitar Fretter,"['Action', 'Casual', 'Indie']"
3256370,Pc,魔法符石 Playtest,
3256170,Pc,异兔传说 Playtest,
3255400,Pc,Zone Meditation,"['Casual', 'Free To Play', 'Education']"
3255440,Pc,Left to Float,['Indie']
3255520,Pc,Bombseeker Playtest,
3198310,Pc,Orendale Playtest,
2230230,Pc,Justice Seeker: Unsafe Data Playtest,
3255600,Pc,Poly Fire,['Action']
3255000,Pc,Sexy Memory Puzzle - Gay Pool,"['Casual', 'Indie']"
3255190,Pc,To the Kingdom Playtest,
3254320,Pc,World Rally Arcade,"['Casual', 'Racing', 'Sports', 'Free To Play']"
3254440,Pc,RZR,"['Action', 'Adventure', 'Casual', 'Indie', 'Free To Play']"
3254480,Pc,Software Dev Tycoon Playtest,
3254040,Pc,One Bear Army Playtest,
3254130,Pc,BLOOD=BULLETS,"['Action', 'Indie']"
3254180,Pc,Dino Age: Dinosaur Survival Game Playtest,
3253220,Pc,Make it! Crepe,"['Action', 'Casual', 'Indie']"
3252910,Pc,Party blackout Playtest,
3253070,Pc,The Gate,"['Adventure', 'Casual', 'Indie']"
3253210,Pc,Catto's Post Office Playtest,
3252300,Pc,决斗胜歌 Playtest,
3252500,Pc,Melt Them All,"['Action', 'Indie', 'Simulation']"
3252590,Pc,Sexy Memory Puzzle - Futanari Doctor,"['Casual', 'Indie']"
3252210,Pc,GUG Playtest,
3251370,Pc,Lawnmower Game: 2024,"['Casual', 'Racing', 'Simulation']"
3251610,Pc,Space Memory: Dogs,['Casual']
3294120,Pc,Centipede Gun Playtest,
3292870,Pc,Hopeless Sea Playtest,
3291420,Pc,The Czar is Dead 2 Playtest,
3286850,Pc,Jinchou Playtest,
3286340,Pc,Junxions Playtest,
3284050,Pc,Halloween Stories: Written in Blood Collector's Edition,"['Adventure', 'Casual']"
3283700,Pc,Islets Defense Playtest,
3282840,Pc,Our Journey Playtest,
3282640,Pc,Insurrection Playtest,
1431940,Pc,Outwars,['Action']
1431950,Pc,Decks & Daggers,"['Adventure', 'Indie', 'RPG', 'Strategy']"
1432000,Pc,Timeline Traveler II: Dream,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']"
1432020,Pc,Jay Schilling's Edge of Chaos,['Adventure']
1432050,Pc,Nobody Saves the World,"['Action', 'Adventure', 'Indie', 'RPG']"
1432100,Pc,The Bookwalker: Thief of Tales,"['Adventure', 'Indie']"
1432110,Pc,Puzzle Bowling,"['Casual', 'Indie']"
1431550,Pc,Secure the Skies,"['Action', 'Casual', 'Indie', 'Free To Play']"
1431570,Pc,GLASS,"['Adventure', 'Casual', 'Indie']"
1431610,Pc,Prison Simulator Prologue,"['Action', 'RPG', 'Simulation']"
1431620,Pc,Cybercube battle,"['Action', 'Casual', 'Indie']"
1431630,Pc,Gallic Wars: Battle Simulator Prologue,"['Simulation', 'Strategy']"
1431690,Pc,Mr. Hibbl,"['Adventure', 'Casual', 'Indie']"
1431720,Pc,Evergate: Ki's Awakening,"['Action', 'Adventure', 'Indie', 'Free To Play']"
1431730,Pc,TRY TO WIN 2,"['Adventure', 'Indie']"
1431770,Pc,JungleKnight,"['Adventure', 'Casual', 'Free To Play', 'Indie', 'Strategy']"
1431780,Pc,The Black Heart,"['Action', 'Adventure', 'Indie']"
1431790,Pc,剑与羁绊,"['Adventure', 'Casual', 'RPG', 'Simulation']"
1431840,Pc,Murder by Moonlight - Call of the Wolf,['Casual']
1431850,Pc,The Tartarus Key,['Adventure']
1431890,Pc,Starfighter Renegade,"['Action', 'Indie']"
1431150,Pc,LongPath,"['Adventure', 'Indie', 'Early Access']"
1431170,Pc,Pepo,"['Action', 'Indie']"
1431180,Pc,DON'T WAKE THE NIGHT,['Indie']
1431190,Pc,Bunny's Trail,['Casual']
1431210,Pc,MahJong - Medieval Fantasy,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
1431220,Pc,"10mg: SLASHER, Interrupted","['Casual', 'Indie', 'RPG', 'Simulation']"
1431230,Pc,Gods of Sand,"['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']"
