record_id,age,gender,occupation,years_gaming,daily_gaming_hours,genre,primary_game,gaming_platform,monthly_spend,academic_performance,gpa,work_productivity,face_to_face_social_hours_weekly,social_isolation,exercise_hours_weekly,sleep_hours,sleep_quality,sleep_disruption,eye_strain,back_neck_pain,physical_pain,weight_change_kg,mood_state,mood_swings,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,gaming_addiction_risk_level,addiction_severity,hours_bin,mapped_genre
GD0001,17,Male,Student,3,11.1,Mobile games,Clash of Clans,Pc,383.7,Below Average,1.25,,1.3,7,3.7,3.7,Very Poor,Sometimes,True,False,True,6.8,Anxious,Never,True,False,True,Severe,2,9-12h,Casual
GD0002,21,Male,Student,1,3.0,Moba,Dota 2,Pc,46.64,Good,3.75,2.0,10.7,2,8.5,7.2,Fair,Rarely,False,False,False,0.4,Irritable,Often,False,False,False,Low,0,0-3h,Strategy
GD0003,23,Male,Professional,6,7.6,Fps,CS:GO,Multi-platform,100.81,Poor,,9.0,3.2,5,7.1,4.4,Fair,Often,False,True,True,1.8,Irritable,Rarely,True,True,True,Severe,3,6-9h,Action
GD0004,20,Female,Student,7,7.2,Rpg,Skyrim,Multi-platform,51.6,Poor,1.62,2.0,9.1,4,5.2,5.1,Fair,Often,True,True,True,0.2,Withdrawn,Daily,True,True,False,High,2,6-9h,Role-playing
GD0005,18,Male,Student,1,6.8,Battle royale,Apex Legends,Pc,32.57,Average,2.44,,4.5,4,6.1,3.4,Poor,Never,False,False,False,0.5,Angry,Daily,True,False,False,Moderate,1,6-9h,Action
GD0006,21,Male,Student,4,2.1,Mobile games,Clash of Clans,Pc,8.63,Good,3.81,4.0,9.6,1,10.8,7.5,Fair,Rarely,False,False,False,0.2,Normal,Never,False,False,False,Low,0,0-3h,Casual
GD0007,21,Male,Student,3,2.7,Fps,Call of Duty,Multi-platform,35.25,Below Average,1.82,6.0,10.1,2,10.0,7.2,Very Poor,Often,False,False,False,0.8,Euphoric,Rarely,False,False,False,Low,0,0-3h,Action
GD0008,28,Female,Professional,13,10.3,Mobile games,Clash of Clans,Console,299.28,Poor,,1.0,0.2,6,5.6,5.2,Fair,Sometimes,True,True,True,2.4,Anxious,Rarely,True,True,True,Severe,3,9-12h,Casual
GD0009,18,Male,Student,6,1.4,Mobile games,Genshin Impact,Pc,49.4,Good,2.43,,12.9,1,10.1,8.9,Poor,Always,False,False,False,0.1,Euphoric,Daily,False,False,False,Low,0,0-3h,Casual
GD0010,18,Male,Student,6,7.6,Mmo,Final Fantasy XIV,Multi-platform,135.2,Average,1.13,,4.6,6,4.5,3.5,Insomnia,Often,True,False,True,3.3,Anxious,Never,True,True,True,Severe,3,6-9h,Role-playing
GD0011,16,Male,Student,4,1.5,Fps,CS:GO,Multi-platform,28.23,Good,3.04,,11.0,1,10.1,8.4,Good,Often,False,False,False,0.2,Restless,Daily,False,False,False,Low,0,0-3h,Action
GD0012,14,Male,Student,3,3.0,Strategy,StarCraft II,Pc,46.36,Excellent,3.15,,13.9,1,9.4,7.2,Good,Sometimes,False,False,False,0.3,Normal,Rarely,False,False,False,Low,0,0-3h,Strategy
GD0013,28,Male,Professional,7,9.5,Mobile games,Genshin Impact,Mobile,482.71,Poor,,8.0,1.6,5,5.1,3.6,Very Poor,Never,True,True,True,2.2,Withdrawn,Rarely,True,False,False,High,1,9-12h,Casual
GD0014,22,Male,Student,5,5.1,Rpg,Skyrim,Mobile,36.07,Average,3.25,6.0,6.3,3,7.6,5.3,Fair,Never,True,False,True,0.9,Anxious,Rarely,False,False,False,Low,0,3-6h,Role-playing
GD0015,21,Male,Student,2,5.8,Rpg,Elden Ring,Console,104.01,Good,2.54,2.0,9.0,3,8.2,5.2,Good,Often,False,True,True,1.2,Restless,Rarely,False,False,False,Low,0,3-6h,Role-playing
GD0016,25,Male,Professional,7,7.3,Mobile games,Clash of Clans,Console,68.25,Poor,,5.0,6.8,6,6.9,5.6,Poor,Often,True,True,True,3.3,Anxious,Never,True,True,False,High,2,6-9h,Casual
GD0017,19,Male,Student,9,3.0,Mobile games,Genshin Impact,Console,1.63,Poor,1.64,3.0,13.1,3,6.7,7.4,Fair,Sometimes,False,False,False,0.1,Normal,Never,False,False,False,Low,0,0-3h,Casual
GD0018,22,Female,Student,10,11.3,Moba,League of Legends,Multi-platform,77.24,Poor,1.89,8.0,0.9,9,4.9,4.6,Poor,Sometimes,True,True,True,5.7,Anxious,Often,True,False,False,High,1,9-12h,Strategy
GD0019,20,Male,Student,6,8.4,Fps,Call of Duty,Mobile,118.79,Average,2.76,2.0,8.1,7,7.1,3.2,Very Poor,Always,True,False,True,0.4,Angry,Sometimes,True,True,True,Severe,3,6-9h,Action
GD0020,20,Male,Student,1,9.4,Battle royale,Warzone,Console,120.16,Below Average,2.14,7.0,2.2,7,4.8,5.5,Poor,Sometimes,False,True,True,1.7,Anxious,Rarely,True,True,False,Severe,2,9-12h,Action
GD0021,22,Male,Student,12,6.5,Rpg,Cyberpunk 2077,Console,16.99,Below Average,2.91,3.0,9.1,6,6.4,4.4,Poor,Always,True,False,True,3.4,Normal,Never,False,True,False,Moderate,1,6-9h,Role-playing
GD0022,16,Female,Student,4,6.1,Moba,League of Legends,Console,53.52,Good,1.12,,9.3,1,5.8,5.3,Fair,Sometimes,False,True,True,1.8,Anxious,Often,False,True,False,Moderate,1,3-6h,Strategy
GD0023,14,Female,Student,4,6.3,Rpg,Skyrim,Mobile,126.54,Average,3.27,,4.8,4,7.5,6.5,Good,Rarely,True,False,True,0.2,Anxious,Never,False,True,False,Moderate,1,3-6h,Role-playing
GD0024,19,Female,Student,6,8.9,Battle royale,PUBG,Console,66.37,Average,2.63,8.0,5.2,5,5.7,5.7,Very Poor,Never,True,True,True,1.9,Irritable,Rarely,True,False,False,High,1,6-9h,Action
GD0025,22,Male,Student,11,5.2,Mobile games,Candy Crush,Pc,60.06,Good,1.94,1.0,11.2,2,6.2,7.0,Fair,Rarely,False,False,False,1.7,Depressed,Rarely,False,False,False,Low,0,3-6h,Casual
GD0026,22,Male,Student,9,3.4,Mobile games,Candy Crush,Console,37.26,Average,3.41,9.0,10.3,3,7.8,8.7,Good,Always,False,False,False,1.1,Normal,Sometimes,False,False,False,Low,0,0-3h,Casual
GD0027,18,Male,Student,7,5.9,Battle royale,Apex Legends,Multi-platform,55.47,Below Average,3.91,,6.8,3,8.0,6.6,Fair,Always,True,True,True,0.9,Anxious,Often,False,False,False,Low,0,3-6h,Action
GD0028,18,Male,Student,8,8.2,Mmo,Final Fantasy XIV,Mobile,57.15,Poor,3.71,,3.3,5,6.5,5.4,Fair,Always,True,True,True,3.2,Anxious,Rarely,False,True,False,Moderate,1,6-9h,Role-playing
GD0029,21,Male,Student,6,1.2,Mmo,World of Warcraft,Mobile,34.91,Good,2.31,9.0,16.7,2,8.6,7.1,Good,Always,False,False,False,0.2,Depressed,Sometimes,False,False,False,Low,0,0-3h,Role-playing
GD0030,19,Female,Student,8,4.7,Rpg,Skyrim,Multi-platform,126.85,Average,1.62,4.0,10.0,3,5.6,5.8,Fair,Rarely,True,False,True,0.5,Irritable,Sometimes,False,False,False,Low,0,3-6h,Role-playing
GD0031,20,Male,Student,6,1.0,Rpg,Cyberpunk 2077,Mobile,21.09,Average,1.21,5.0,14.4,1,8.9,7.3,Good,Sometimes,False,False,False,0.0,Normal,Never,False,False,False,Low,0,0-3h,Role-playing
GD0032,17,Male,Student,5,5.1,Mobile games,Clash of Clans,Mobile,36.53,Average,3.02,,8.3,2,8.9,6.4,Poor,Always,False,False,False,2.2,Restless,Often,False,False,False,Low,0,3-6h,Casual
GD0033,20,Male,Student,7,5.9,Mmo,Final Fantasy XIV,Console,147.6,Poor,3.39,6.0,7.1,3,7.5,6.8,Fair,Rarely,False,True,True,0.3,Anxious,Never,False,False,False,Low,0,3-6h,Role-playing
GD0034,20,Male,Student,7,5.2,Battle royale,PUBG,Console,19.91,Average,3.03,8.0,8.7,5,7.9,5.6,Very Poor,Often,True,False,True,1.4,Angry,Rarely,False,False,False,Low,0,3-6h,Action
GD0035,18,Male,Student,2,6.6,Fps,CS:GO,Console,93.68,Poor,3.98,,8.4,5,5.5,4.1,Insomnia,Often,False,False,False,0.1,Anxious,Sometimes,True,True,False,High,2,6-9h,Action
GD0036,22,Female,Student,12,4.6,Mobile games,PUBG Mobile,Pc,80.92,Average,1.15,6.0,8.3,4,8.4,5.4,Poor,Never,True,False,True,1.6,Angry,Sometimes,False,False,False,Low,0,3-6h,Casual
GD0037,20,Male,Student,9,2.8,Moba,Mobile Legends,Mobile,45.96,Excellent,3.54,9.0,14.3,3,8.3,8.3,Fair,Never,False,False,False,0.3,Excited,Never,False,False,False,Low,0,0-3h,Strategy
GD0038,20,Male,Student,2,7.6,Strategy,StarCraft II,Mobile,123.45,Poor,2.7,9.0,2.6,6,5.2,4.2,Very Poor,Never,True,True,True,3.6,Restless,Never,False,True,False,Moderate,1,6-9h,Strategy
GD0039,16,Female,Student,4,2.3,Moba,League of Legends,Mobile,42.43,Average,1.22,,12.3,2,7.2,8.4,Good,Often,False,False,False,0.8,Anxious,Daily,False,False,False,Low,0,0-3h,Strategy
GD0040,20,Male,Student,2,4.4,Rpg,Elden Ring,Mobile,26.63,Excellent,1.38,2.0,8.5,4,9.1,6.4,Fair,Often,False,False,False,0.2,Restless,Rarely,False,False,False,Low,0,3-6h,Role-playing
GD0041,33,Male,Professional,6,3.1,Mmo,Elder Scrolls Online,Multi-platform,47.69,Average,,8.0,12.8,1,8.3,8.4,Fair,Never,False,False,False,1.3,Normal,Rarely,False,False,False,Low,0,0-3h,Role-playing
GD0042,16,Male,Student,1,8.0,Fps,Valorant,Mobile,61.37,Failing,3.22,,6.3,8,6.0,3.8,Poor,Sometimes,True,True,True,0.9,Irritable,Sometimes,True,True,True,Severe,3,6-9h,Action
GD0043,20,Male,Student,1,4.2,Strategy,StarCraft II,Mobile,9.18,Average,2.21,7.0,8.8,1,7.1,5.4,Good,Sometimes,False,False,False,0.1,Normal,Often,False,False,False,Low,0,3-6h,Strategy
GD0044,20,Male,Student,4,7.9,Battle royale,PUBG,Console,81.23,Below Average,2.25,3.0,4.2,6,7.0,3.5,Poor,Never,False,True,True,3.3,Angry,Rarely,True,False,True,High,2,6-9h,Action
GD0045,14,Female,Student,3,3.9,Mobile games,PUBG Mobile,Mobile,17.43,Good,2.88,,7.5,2,7.8,5.1,Poor,Sometimes,False,False,False,1.2,Euphoric,Rarely,False,False,False,Low,0,3-6h,Casual
GD0046,26,Female,Professional,8,6.2,Strategy,Age of Empires,Multi-platform,48.84,Average,,5.0,4.9,3,5.5,5.7,Fair,Never,True,True,True,0.4,Depressed,Daily,False,True,False,Moderate,1,3-6h,Strategy
GD0047,20,Male,Student,8,3.4,Mmo,Final Fantasy XIV,Pc,23.33,Below Average,1.19,7.0,12.9,1,7.8,7.1,Poor,Sometimes,False,False,False,1.3,Normal,Sometimes,False,False,False,Low,0,0-3h,Role-playing
GD0048,29,Female,Professional,14,6.1,Fps,Call of Duty,Mobile,110.74,Good,,5.0,10.7,2,7.7,6.7,Poor,Often,True,True,True,0.8,Restless,Daily,False,True,False,Moderate,1,3-6h,Action
GD0049,16,Female,Student,2,5.9,Rpg,Skyrim,Console,125.89,Average,2.11,,7.6,3,6.0,5.4,Fair,Often,False,False,False,0.7,Depressed,Never,False,False,False,Low,0,3-6h,Role-playing
GD0050,15,Female,Student,1,5.1,Mmo,World of Warcraft,Pc,39.9,Below Average,3.87,,8.8,2,6.2,6.5,Poor,Never,False,False,False,0.6,Angry,Sometimes,False,False,False,Low,0,3-6h,Role-playing
GD0051,24,Male,Professional,1,7.0,Strategy,Age of Empires,Console,132.68,Poor,,5.0,8.8,4,8.0,4.7,Very Poor,Sometimes,False,False,False,0.5,Angry,Often,True,False,False,Moderate,1,6-9h,Strategy
GD0052,20,Male,Student,4,3.5,Rpg,Skyrim,Mobile,40.35,Good,1.39,3.0,10.7,2,9.8,7.8,Good,Never,False,False,False,1.3,Normal,Rarely,False,False,False,Low,0,3-6h,Role-playing
GD0053,20,Male,Student,9,11.4,Fps,Call of Duty,Console,433.8,Failing,2.02,5.0,0.2,6,5.0,4.3,Very Poor,Never,True,True,True,0.3,Anxious,Never,True,False,False,High,1,9-12h,Action
GD0054,20,Female,Student,5,0.5,Mobile games,Genshin Impact,Multi-platform,9.04,Excellent,3.39,4.0,13.9,1,10.0,7.2,Good,Sometimes,False,False,False,0.1,Depressed,Rarely,False,False,False,Low,0,0-3h,Casual
GD0055,22,Female,Student,5,5.8,Fps,CS:GO,Pc,114.52,Average,2.3,3.0,10.5,3,6.4,6.7,Good,Rarely,True,False,True,1.3,Euphoric,Sometimes,False,False,False,Low,0,3-6h,Action
GD0056,19,Male,Student,5,1.7,Moba,Mobile Legends,Mobile,47.53,Excellent,1.41,9.0,12.6,1,9.3,8.1,Good,Sometimes,False,False,False,0.0,Normal,Daily,False,False,False,Low,0,0-3h,Strategy
GD0057,24,Male,Professional,3,6.0,Strategy,StarCraft II,Console,133.31,Good,,10.0,9.3,4,8.2,6.9,Good,Always,False,True,True,0.1,Euphoric,Sometimes,False,True,False,Moderate,1,3-6h,Strategy
GD0058,25,Male,Professional,8,7.1,Rpg,Elden Ring,Console,136.21,Average,,1.0,6.6,4,7.2,5.2,Poor,Sometimes,False,True,True,4.3,Anxious,Sometimes,True,False,False,Moderate,1,6-9h,Role-playing
GD0059,23,Male,Professional,10,0.6,Battle royale,Warzone,Mobile,39.51,Good,,4.0,11.1,1,8.8,7.2,Good,Rarely,False,False,False,0.0,Excited,Sometimes,False,False,False,Low,0,0-3h,Action
GD0060,33,Female,Professional,8,7.2,Mobile games,PUBG Mobile,Multi-platform,96.57,Below Average,,9.0,9.0,5,7.6,4.2,Fair,Rarely,True,True,True,0.7,Anxious,Often,False,False,False,Low,0,6-9h,Casual
GD0061,22,Female,Student,10,5.6,Fps,Call of Duty,Console,144.26,Average,2.08,4.0,9.7,3,7.7,5.3,Good,Never,False,True,True,0.7,Normal,Sometimes,False,True,False,Moderate,1,3-6h,Action
GD0062,13,Male,Student,3,8.9,Rpg,Cyberpunk 2077,Mobile,417.13,Below Average,3.91,,2.3,5,3.6,4.2,Very Poor,Sometimes,True,True,True,2.1,Restless,Never,True,True,False,Severe,2,6-9h,Role-playing
GD0063,16,Other,Student,6,12.4,Moba,Mobile Legends,Pc,359.05,Below Average,2.0,,0.6,7,4.3,4.7,Insomnia,Often,True,True,True,0.2,Irritable,Daily,True,False,False,High,1,12h+,Strategy
GD0064,19,Female,Student,9,6.6,Fps,Valorant,Mobile,144.41,Below Average,3.09,10.0,9.5,4,8.0,3.3,Very Poor,Often,True,True,True,2.3,Irritable,Sometimes,True,True,False,High,2,6-9h,Action
GD0065,26,Female,Professional,10,4.9,Strategy,StarCraft II,Mobile,60.06,Poor,,5.0,9.5,3,8.8,5.7,Fair,Often,True,False,True,1.2,Irritable,Rarely,False,False,False,Low,0,3-6h,Strategy
GD0066,18,Male,Student,5,4.4,Mobile games,Candy Crush,Pc,45.33,Below Average,1.4,,11.3,1,8.3,6.6,Poor,Often,False,False,False,0.0,Normal,Daily,False,False,False,Low,0,3-6h,Casual
GD0067,23,Female,Professional,8,4.7,Rpg,Skyrim,Multi-platform,108.0,Average,,8.0,10.7,4,7.0,5.1,Good,Sometimes,True,False,True,1.2,Angry,Never,False,False,False,Low,0,3-6h,Role-playing
GD0068,22,Male,Student,4,7.0,Mmo,Elder Scrolls Online,Multi-platform,119.22,Poor,3.54,2.0,5.3,5,5.8,4.0,Very Poor,Sometimes,True,True,True,1.0,Irritable,Daily,True,False,False,Moderate,1,6-9h,Role-playing
GD0069,20,Female,Student,8,6.2,Mobile games,Genshin Impact,Console,42.1,Average,3.51,2.0,9.6,5,6.7,5.8,Very Poor,Never,True,True,True,3.3,Irritable,Rarely,False,True,False,Moderate,1,3-6h,Casual
GD0070,18,Female,Student,6,15.1,Mmo,World of Warcraft,Pc,209.75,Below Average,3.05,,0.0,10,4.2,4.8,Fair,Often,True,True,True,0.0,Restless,Often,True,False,False,High,1,12h+,Role-playing
GD0071,25,Male,Professional,11,4.8,Mmo,Elder Scrolls Online,Multi-platform,132.26,Average,,7.0,10.0,2,5.8,6.8,Fair,Never,False,False,False,1.6,Euphoric,Never,False,False,False,Low,0,3-6h,Role-playing
GD0072,23,Male,Professional,3,2.6,Mobile games,Clash of Clans,Console,7.76,Good,,5.0,11.2,1,8.9,8.8,Fair,Never,False,False,False,0.4,Excited,Sometimes,False,False,False,Low,0,0-3h,Casual
GD0073,17,Female,Student,1,4.0,Mobile games,Genshin Impact,Multi-platform,18.88,Good,3.1,,7.4,2,6.3,5.8,Fair,Sometimes,False,False,False,3.3,Angry,Sometimes,False,False,False,Low,0,3-6h,Casual
GD0074,20,Male,Student,8,5.0,Mmo,Final Fantasy XIV,Console,85.67,Excellent,1.55,9.0,6.8,4,7.7,6.9,Poor,Sometimes,False,False,False,0.9,Normal,Never,False,False,False,Low,0,3-6h,Role-playing
GD0075,19,Male,Student,3,3.5,Battle royale,PUBG,Multi-platform,39.95,Average,1.87,4.0,11.4,2,6.7,8.0,Good,Often,False,False,False,0.4,Excited,Rarely,False,False,False,Low,0,3-6h,Action
GD0076,33,Male,Professional,8,5.2,Battle royale,Apex Legends,Multi-platform,73.02,Good,,3.0,6.9,6,9.0,6.9,Fair,Often,True,False,True,2.0,Euphoric,Daily,False,False,False,Low,0,3-6h,Action
GD0077,17,Male,Student,1,9.4,Strategy,Civilization VI,Pc,364.97,Poor,1.01,,1.8,6,4.7,3.1,Poor,Often,True,True,True,1.3,Depressed,Never,True,False,True,Severe,2,9-12h,Strategy
GD0078,16,Female,Student,2,5.7,Moba,League of Legends,Multi-platform,136.3,Average,2.48,,8.5,4,8.4,6.8,Poor,Sometimes,True,True,True,1.5,Restless,Sometimes,False,False,False,Low,0,3-6h,Strategy
GD0079,19,Other,Student,6,8.3,Moba,League of Legends,Pc,82.29,Average,1.17,8.0,3.9,7,4.0,5.5,Poor,Always,False,False,False,3.0,Irritable,Never,True,False,False,Moderate,1,6-9h,Strategy
GD0080,16,Female,Student,1,9.0,Mobile games,Genshin Impact,Mobile,192.38,Poor,2.32,,6.0,5,3.8,5.8,Poor,Never,True,True,True,3.7,Restless,Often,True,False,True,Severe,2,6-9h,Casual
GD0081,22,Female,Student,11,7.2,Mobile games,Genshin Impact,Multi-platform,32.86,Poor,1.98,1.0,8.0,4,6.5,3.6,Very Poor,Rarely,True,False,True,1.7,Irritable,Daily,True,False,False,Moderate,1,6-9h,Casual
GD0082,17,Female,Student,3,10.8,Mmo,World of Warcraft,Multi-platform,462.43,Poor,3.56,,0.8,7,2.9,5.0,Fair,Rarely,True,True,True,0.4,Anxious,Often,True,False,True,Severe,2,9-12h,Role-playing
GD0083,18,Male,Student,2,9.3,Rpg,Elden Ring,Multi-platform,404.23,Poor,1.42,,1.5,6,6.3,5.5,Insomnia,Rarely,False,True,True,0.9,Irritable,Sometimes,True,False,False,High,1,9-12h,Role-playing
GD0084,20,Male,Student,8,6.4,Rpg,Elden Ring,Multi-platform,91.02,Average,2.95,8.0,7.5,5,7.6,6.8,Fair,Rarely,False,True,True,1.5,Normal,Never,False,True,False,Moderate,1,6-9h,Role-playing
GD0085,26,Male,Professional,10,1.1,Mobile games,PUBG Mobile,Multi-platform,24.99,Good,,5.0,15.5,1,9.5,7.6,Good,Sometimes,False,False,False,0.4,Normal,Often,False,False,False,Low,0,0-3h,Casual
GD0086,22,Male,Student,11,3.0,Battle royale,Warzone,Mobile,34.92,Good,2.4,5.0,8.5,2,7.1,8.8,Poor,Rarely,False,False,False,1.1,Normal,Rarely,False,False,False,Low,0,0-3h,Action
GD0087,14,Male,Student,3,7.5,Mmo,Final Fantasy XIV,Multi-platform,123.8,Poor,1.29,,6.6,5,7.9,4.8,Fair,Never,True,False,True,0.7,Angry,Often,True,True,False,High,2,6-9h,Role-playing
GD0088,17,Male,Student,1,6.1,Fps,Call of Duty,Pc,71.69,Average,3.06,,9.8,4,5.6,6.7,Fair,Often,True,True,True,1.8,Normal,Sometimes,False,True,False,Moderate,1,3-6h,Action
GD0089,18,Female,Student,4,5.9,Strategy,StarCraft II,Pc,96.37,Average,2.46,,4.9,4,7.4,6.5,Poor,Rarely,True,False,True,0.4,Normal,Never,False,True,False,Moderate,1,3-6h,Strategy
GD0090,22,Female,Student,1,8.1,Mobile games,Candy Crush,Mobile,67.48,Failing,3.21,6.0,5.1,5,6.8,3.1,Fair,Sometimes,True,False,True,0.3,Anxious,Sometimes,False,True,False,Moderate,1,6-9h,Casual
GD0091,20,Male,Student,4,10.3,Mmo,World of Warcraft,Pc,499.27,Below Average,1.5,1.0,1.6,8,3.6,5.8,Poor,Rarely,False,True,True,4.5,Angry,Sometimes,False,False,False,Moderate,0,9-12h,Role-playing
GD0092,17,Female,Student,5,8.9,Strategy,Civilization VI,Pc,254.42,Good,3.26,,2.7,5,5.3,5.9,Fair,Never,True,True,True,5.7,Restless,Never,True,False,False,High,1,6-9h,Strategy
GD0093,26,Female,Professional,14,5.9,Mobile games,Clash of Clans,Console,83.67,Good,,10.0,8.4,5,5.2,6.1,Good,Always,False,False,False,0.5,Excited,Sometimes,False,True,False,Moderate,1,3-6h,Casual
GD0094,21,Female,Student,8,4.9,Strategy,StarCraft II,Mobile,56.37,Failing,3.53,5.0,7.6,2,9.1,6.1,Fair,Always,True,False,True,0.3,Withdrawn,Rarely,False,False,False,Low,0,3-6h,Strategy
GD0095,22,Male,Student,5,1.7,Rpg,Skyrim,Console,24.1,Average,1.41,7.0,14.1,1,10.8,7.3,Fair,Rarely,False,False,False,0.4,Normal,Never,False,False,False,Low,0,0-3h,Role-playing
GD0096,19,Male,Student,1,7.0,Mobile games,Candy Crush,Mobile,115.12,Failing,3.92,4.0,8.8,6,4.6,4.9,Poor,Often,True,True,True,0.4,Restless,Daily,True,True,False,High,2,6-9h,Casual
GD0097,19,Male,Student,1,3.2,Moba,Mobile Legends,Mobile,15.77,Average,2.05,9.0,14.4,2,9.1,7.3,Fair,Often,False,False,False,0.5,Restless,Rarely,False,False,False,Low,0,0-3h,Strategy
GD0098,23,Male,Professional,5,10.4,Rpg,Cyberpunk 2077,Mobile,197.03,Poor,,10.0,3.9,5,3.7,5.6,Poor,Often,False,False,False,4.1,Anxious,Rarely,False,True,True,Severe,2,9-12h,Role-playing
GD0099,31,Male,Professional,12,5.1,Moba,Mobile Legends,Pc,72.27,Average,,1.0,10.9,2,7.4,6.5,Fair,Often,True,False,True,0.9,Angry,Often,False,False,False,Low,0,3-6h,Strategy
GD0100,27,Female,Professional,2,6.3,Mobile games,Candy Crush,Pc,21.12,Average,,10.0,10.2,2,8.0,6.3,Very Poor,Often,True,False,True,1.3,Depressed,Daily,False,False,False,Low,0,3-6h,Casual
GD0101,21,Male,Student,11,5.4,Fps,Valorant,Pc,33.12,Failing,3.51,4.0,11.2,1,5.7,6.6,Fair,Rarely,True,False,True,1.3,Normal,Rarely,False,False,False,Low,0,3-6h,Action
GD0102,19,Male,Student,3,6.1,Rpg,Elden Ring,Console,110.19,Average,3.22,7.0,7.9,5,8.1,5.5,Good,Always,True,False,True,0.6,Normal,Rarely,False,False,False,Low,0,3-6h,Role-playing
GD0103,19,Female,Student,8,7.1,Mmo,Elder Scrolls Online,Pc,112.86,Good,2.66,1.0,6.0,4,5.3,5.0,Poor,Rarely,False,True,True,0.1,Irritable,Sometimes,True,True,False,High,2,6-9h,Role-playing
GD0104,19,Female,Student,3,8.0,Rpg,Elden Ring,Pc,26.81,Poor,2.53,6.0,2.6,4,6.6,3.4,Very Poor,Never,True,True,True,0.0,Restless,Often,True,True,False,High,2,6-9h,Role-playing
GD0105,21,Female,Student,1,4.8,Battle royale,Warzone,Mobile,48.19,Below Average,1.08,5.0,10.9,2,6.1,6.6,Fair,Often,False,False,False,3.6,Excited,Rarely,False,False,False,Low,0,3-6h,Action
GD0106,17,Female,Student,7,9.8,Battle royale,Warzone,Pc,114.88,Poor,3.66,,3.4,7,6.8,5.0,Very Poor,Always,False,False,False,5.2,Anxious,Daily,True,True,False,Severe,2,9-12h,Action
GD0107,14,Female,Student,3,2.9,Fps,Valorant,Mobile,24.6,Excellent,1.37,,8.7,3,9.4,7.9,Good,Never,False,False,False,0.5,Depressed,Daily,False,False,False,Low,0,0-3h,Action
GD0108,19,Female,Student,9,6.8,Battle royale,PUBG,Multi-platform,127.0,Failing,2.96,7.0,4.7,4,6.4,3.7,Poor,Never,True,True,True,1.9,Angry,Rarely,True,False,False,Moderate,1,6-9h,Action
GD0109,19,Male,Student,8,4.6,Battle royale,Fortnite,Console,85.23,Excellent,2.21,4.0,11.3,2,6.8,5.3,Fair,Sometimes,False,False,False,0.2,Irritable,Daily,False,False,False,Low,0,3-6h,Action
GD0110,26,Male,Professional,15,12.0,Rpg,Cyberpunk 2077,Pc,326.96,Failing,,2.0,2.5,9,5.2,4.4,Poor,Never,True,True,True,1.8,Irritable,Sometimes,True,False,True,Severe,2,9-12h,Role-playing
GD0111,16,Female,Student,3,5.4,Battle royale,Fortnite,Pc,147.65,Below Average,2.85,,11.0,3,7.9,6.7,Good,Rarely,True,False,True,0.4,Normal,Rarely,False,False,False,Low,0,3-6h,Action
